ProxyAddress,implementations,version,Proxy-Type,Creation Timestamp,Creation Date,Last Transaction Timestamp,Last Transaction Date,Total Transactions,Age,Active,Human Readable Age
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x3fb75a9cb8ea9586b9261e83317bd1c23fc38f71,23,Unknown,1653824729,5/29/22 11:45,1653824729,5/29/22 11:45,1,-2871349,TRUE,1104.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x1eb2df832c8efddda0bd8bf7d311825c6efae49f,24,Unknown,1650953380,4/26/22 6:09,1650953380,4/26/22 6:09,1,2884967,FALSE,33.0 days 562.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x3acb9146efc4e15a0876247abdee117501218e06,25,Unknown,1653838347,5/29/22 15:32,1653838347,5/29/22 15:32,1,40964,FALSE,682.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0xc99d7f677208b4c1a19ff4892b8d5be003dcbba2,26,Unknown,1653879311,5/30/22 2:55,1653879311,5/30/22 2:55,1,2091858,FALSE,24.0 days 304.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0xebd61056aaa7a6efe0ad3d9ab7fcb683f5f73c9d,27,Unknown,1655971169,6/23/22 7:59,1655971169,6/23/22 7:59,1,245266,FALSE,2.0 days 1207.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x47d05d6afc05d4a6fda1f0d31fda03432ed19105,28,Unknown,1656216435,6/26/22 4:07,1656216435,6/26/22 4:07,1,2091778,FALSE,24.0 days 302.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0xcfd370b604df76eee9ef90d4eaa5ae67f0e5a69b,29,Unknown,1658308213,7/20/22 9:10,1658308213,7/20/22 9:10,1,2910266,FALSE,33.0 days 984.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x1d73d4be1863dcea396c7e1c3f7b8cb850f9eabd,30,Unknown,1661218479,8/23/22 1:34,1661218479,8/23/22 1:34,1,553837,FALSE,6.0 days 590.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x29a1da843083dd2972c419f654124316278b374c,31,Unknown,1661772316,8/29/22 11:25,1661772316,8/29/22 11:25,1,14590531,FALSE,168.0 days 1255.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0xd7a7c02778a0469262073ddd38b7416e8618d033,32,Unknown,1676362847,2/14/23 8:20,1676362847,2/14/23 8:20,1,30182085,FALSE,349.0 days 474.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x6f66f6178f03ee8a280220068310c98047320f05,1,EIP_1967_LOGIC_SLOT.csv,1608233787,12/17/20 19:36,1608233787,12/17/20 19:36,1,180077,FALSE,2.0 days 121.0 minutes
