Proxy Address,Proxy Type,Year,Event Name,Event Parameters
0x2ba1a8c7352a5b5ea3ea3408f89e1ba7920d36ce,OpenZeppelin Proxy Pattern,2018,OwnershipTransferred,"previousOwner: address, newOwner: address"
0xa4caaf4c06c9ba1eb111fdef2df1c76877c92290,OpenZeppelin Proxy Pattern,2018,AdminChanged,"previousAdmin: address, newAdmin: address"
0xa4caaf4c06c9ba1eb111fdef2df1c76877c92290,OpenZeppelin Proxy Pattern,2018,Upgraded,implementation: address
0x9fb61c29ea45fa620621dbf7c6d0126d2c3c4373,OpenZeppelin Proxy Pattern,2018,AdminChanged,"previousAdmin: address, newAdmin: address"
0x9fb61c29ea45fa620621dbf7c6d0126d2c3c4373,OpenZeppelin Proxy Pattern,2018,Upgraded,implementation: address
0xbc7167155caf10230da6a6fdec17d52861cc9020,OpenZeppelin Proxy Pattern,2018,AdminChanged,"previousAdmin: address, newAdmin: address"
0xbc7167155caf10230da6a6fdec17d52861cc9020,OpenZeppelin Proxy Pattern,2018,Upgraded,implementation: address
0x4bfeae5202b7163de2b4b75aab523bb2594d2547,OpenZeppelin Proxy Pattern,2018,AdminChanged,"previousAdmin: address, newAdmin: address"
0x4bfeae5202b7163de2b4b75aab523bb2594d2547,OpenZeppelin Proxy Pattern,2018,Upgraded,implementation: address
0xecbf566944250dde88322581024e611419715f7a,OpenZeppelin Proxy Pattern,2020,AdminChanged,"previousAdmin: address, newAdmin: address"
0xecbf566944250dde88322581024e611419715f7a,OpenZeppelin Proxy Pattern,2020,Upgraded,implementation: address
0xa8ebad02fed457b688dd3689a7cb537c9400097c,OpenZeppelin Proxy Pattern,2020,AdminChanged,"previousAdmin: address, newAdmin: address"
0xa8ebad02fed457b688dd3689a7cb537c9400097c,OpenZeppelin Proxy Pattern,2020,Upgraded,implementation: address
0xc1d1b88306d0ed9f22c1ad364b548175c2115b08,OpenZeppelin Proxy Pattern,2020,AdminChanged,"previousAdmin: address, newAdmin: address"
0xc1d1b88306d0ed9f22c1ad364b548175c2115b08,OpenZeppelin Proxy Pattern,2020,Upgraded,implementation: address
0x2cd68ecf48b0687c95ee6c06d33389688c3cbb8e,OpenZeppelin Proxy Pattern,2020,AdminChanged,"previousAdmin: address, newAdmin: address"
0x2cd68ecf48b0687c95ee6c06d33389688c3cbb8e,OpenZeppelin Proxy Pattern,2020,Upgraded,implementation: address
0xa4ea51eca52d50abcf1d6f43053f9524f4442c41,OpenZeppelin Proxy Pattern,2020,AdminChanged,"previousAdmin: address, newAdmin: address"
0xa4ea51eca52d50abcf1d6f43053f9524f4442c41,OpenZeppelin Proxy Pattern,2020,Upgraded,implementation: address
0x8a9f904b4ead6a97f3ab304d0d2196f5c602c807,OpenZeppelin Proxy Pattern,2020,AdminChanged,"previousAdmin: address, newAdmin: address"
