ProxyAddress,implementations,VersionNumber,Findings,new-Vul,fix-Vul,matched_filename,new-feature,deleted-feature,gas,Optimization,Root-Cause
0x00182fdb0b880ee24d428e3cc39383717677c37e,0xa7b131abeb5a733e3940e234bef79f554aa55b31,8,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,5096282.0,Not Optimized,others
0x00182fdb0b880ee24d428e3cc39383717677c37e,0x6bbf498c429c51d05bca3fc67d2c720b15fc73b8,9,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,5108337.0,Not Optimized,others
0x00182fdb0b880ee24d428e3cc39383717677c37e,0x2bd9697bf0ab44be5ca698fb5787d8f13ca48ffc,10,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,5079476.0,Optimized,gas-optimized
0x0082b7b1e4bb2faf667615c613dd5acda3cc350c,0x39df096d0c74e02693909916615077b6fb8bd3f2,1,no source code,V1,V1,,V1,V1,4238136.0,V1,V1
0x0082b7b1e4bb2faf667615c613dd5acda3cc350c,0xea716308901e646f135139d7d4d1163c29576ac9,2,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,4261942.0,Not Optimized,others
0x008586b7f6768edc269d9e5cd276316d33cece6d,0xf852ffd3ae8b8f2361e51143db9e98e79ec8522c,1,no source code,V1,V1,,V1,V1,5129224.0,V1,V1
0x008586b7f6768edc269d9e5cd276316d33cece6d,0x9d313b9719f915f12e4d2e0fb70fb25403031310,4,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,5183907.0,Not Optimized,others
0x008586b7f6768edc269d9e5cd276316d33cece6d,0x8efd844db17479c6d1a5730204a62411ee7467e1,5,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,5211470.0,Not Optimized,others
0x00aadc47d91fd9cac3369e6045042f9f99216b98,0xc33fe4a5c2990cc0a62ab26a74604ea57ad955aa,1,solc_version,V1,V1,/Users/elyhabaro/Desktop/0/x/test2/0xc33fe4a5c2990cc0a62ab26a74604ea57ad955aa-VaderMinterUpgradeable/ProtocolConstants.sol,V1,V1,1653785.0,V1,V1
0x00aadc47d91fd9cac3369e6045042f9f99216b98,0x201480bdb1d4308d0db8d9cfccc1848ff65aa343,2,no source code,no source code,solc_version,,no new feature,no deleted feature,1876554.0,Not Optimized,fix-vulnerability
0x00abdb2fbbc763b6b4a8700e10550ad74dac4d43,0x06d16d05daec5c792622cef8c631e9352bb32a78,7,no source code,V1,V1,,V1,V1,2514365.0,V1,V1
0x00abdb2fbbc763b6b4a8700e10550ad74dac4d43,0x9b66c53f01ec18673f1b2be3c0a91a298fa31b4f,8,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,2278868.0,Optimized,gas-optimized
0x00abdb2fbbc763b6b4a8700e10550ad74dac4d43,0x86563f0fc58aed63b69c6c74428cd72e7304cb69,9,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,2328574.0,Not Optimized,others
0x00abdb2fbbc763b6b4a8700e10550ad74dac4d43,0x60f3b57d63fb7cd3e0408b7941ddbe157b52044e,10,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,2392936.0,Not Optimized,others
0x00b8f3e184e5daaadb8fda995bbabbcc1b35ae93,0xbc565b8988f6d3963c35ca062d00b8bd5db8a68a,1,no source code,V1,V1,,V1,V1,4206558.0,V1,V1
0x00b8f3e184e5daaadb8fda995bbabbcc1b35ae93,0xcb18f857664ffb3835459bc4dd27ed50614e3d60,3,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,4129754.0,Optimized,gas-optimized
0x00b8f3e184e5daaadb8fda995bbabbcc1b35ae93,0x17c3e4bd431ebbf3d6584f59ea4982313b093c48,5,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,4824541.0,Not Optimized,others
0x00b8f3e184e5daaadb8fda995bbabbcc1b35ae93,0x62a9c66b6e9d873e1764697815bc66b0942ecb93,7,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,4923255.0,Not Optimized,others
0x00b8f3e184e5daaadb8fda995bbabbcc1b35ae93,0x7a3ffea44311b532a220eda80741f25f40ce691e,8,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,4959245.0,Not Optimized,others
0x00d2d3f3d9a4c5f623e149849148bf0a62bf99d7,0x2a3e55659350a4cb8ecd68e7992b538b4fedc490,1,no source code,V1,V1,,V1,V1,3337817.0,V1,V1
0x00d2d3f3d9a4c5f623e149849148bf0a62bf99d7,0x3a7ea558d43463512afa7663a55d5af1a7faef99,2,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,3358829.0,Not Optimized,others
